RUN	pokemonapi.RefulTask	refultask	1720829203000	 	3.11.3
USER	Task API Test	START	1720829203834
REQUEST		POST task	1720829203754	1720829204121	OK	 
REQUEST		PUT task	1720829204208	1720829204500	OK	 
USER	Task API Test	START	1720829204746
REQUEST		GET task	1720829204503	1720829204754	OK	 
USER	Task API Test	END	1720829204758
USER	Task API Test	START	1720829204760
REQUEST		POST task	1720829204759	1720829205042	OK	 
REQUEST		PUT task	1720829205043	1720829205328	OK	 
REQUEST		POST task	1720829204744	1720829205524	OK	 
REQUEST		GET task	1720829205329	1720829205563	OK	 
USER	Task API Test	END	1720829205564
USER	Task API Test	START	1720829205566
USER	Task API Test	START	1720829205745
REQUEST		PUT task	1720829205526	1720829205770	OK	 
REQUEST		POST task	1720829205565	1720829205855	OK	 
REQUEST		POST task	1720829205744	1720829206011	OK	 
REQUEST		GET task	1720829205771	1720829206016	OK	 
USER	Task API Test	END	1720829206017
USER	Task API Test	START	1720829206019
REQUEST		PUT task	1720829205857	1720829206140	OK	 
REQUEST		PUT task	1720829206013	1720829206300	OK	 
REQUEST		POST task	1720829206018	1720829206337	OK	 
REQUEST		GET task	1720829206141	1720829206373	OK	 
USER	Task API Test	END	1720829206374
USER	Task API Test	START	1720829206376
REQUEST		GET task	1720829206302	1720829206540	OK	 
USER	Task API Test	END	1720829206542
USER	Task API Test	START	1720829206543
REQUEST		PUT task	1720829206338	1720829206628	OK	 
REQUEST		POST task	1720829206375	1720829206645	OK	 
USER	Task API Test	START	1720829206745
REQUEST		POST task	1720829206543	1720829206812	OK	 
REQUEST		GET task	1720829206629	1720829206870	OK	 
USER	Task API Test	END	1720829206872
USER	Task API Test	START	1720829206873
REQUEST		PUT task	1720829206646	1720829206892	OK	 
REQUEST		POST task	1720829206744	1720829207068	OK	 
REQUEST		PUT task	1720829206813	1720829207103	OK	 
REQUEST		GET task	1720829206893	1720829207140	OK	 
USER	Task API Test	END	1720829207141
USER	Task API Test	START	1720829207142
REQUEST		POST task	1720829206872	1720829207148	OK	 
REQUEST		GET task	1720829207104	1720829207344	OK	 
USER	Task API Test	END	1720829207345
USER	Task API Test	START	1720829207346
REQUEST		PUT task	1720829207070	1720829207348	OK	 
REQUEST		POST task	1720829207142	1720829207414	OK	 
REQUEST		PUT task	1720829207149	1720829207435	OK	 
REQUEST		GET task	1720829207349	1720829207587	OK	 
USER	Task API Test	END	1720829207588
USER	Task API Test	START	1720829207589
REQUEST		POST task	1720829207346	1720829207666	OK	 
REQUEST		GET task	1720829207437	1720829207686	OK	 
USER	Task API Test	END	1720829207687
USER	Task API Test	START	1720829207688
REQUEST		PUT task	1720829207415	1720829207691	OK	 
USER	Task API Test	START	1720829207744
REQUEST		POST task	1720829207589	1720829207857	OK	 
REQUEST		GET task	1720829207693	1720829207925	OK	 
USER	Task API Test	END	1720829207926
USER	Task API Test	START	1720829207927
REQUEST		PUT task	1720829207667	1720829207958	OK	 
REQUEST		POST task	1720829207743	1720829208050	OK	 
REQUEST		PUT task	1720829207858	1720829208114	OK	 
REQUEST		GET task	1720829207959	1720829208209	OK	 
USER	Task API Test	END	1720829208211
REQUEST		POST task	1720829207927	1720829208211	OK	 
USER	Task API Test	START	1720829208212
REQUEST		PUT task	1720829208051	1720829208296	OK	 
REQUEST		GET task	1720829208116	1720829208426	OK	 
USER	Task API Test	END	1720829208428
USER	Task API Test	START	1720829208429
REQUEST		POST task	1720829207688	1720829208461	OK	 
REQUEST		POST task	1720829208211	1720829208488	OK	 
REQUEST		PUT task	1720829208212	1720829208508	OK	 
REQUEST		GET task	1720829208297	1720829208532	OK	 
USER	Task API Test	END	1720829208533
USER	Task API Test	START	1720829208534
USER	Task API Test	START	1720829208744
REQUEST		GET task	1720829208509	1720829208746	OK	 
USER	Task API Test	END	1720829208747
USER	Task API Test	START	1720829208748
REQUEST		PUT task	1720829208462	1720829208749	OK	 
REQUEST		PUT task	1720829208490	1720829208766	OK	 
REQUEST		GET task	1720829208750	1720829208996	OK	 
USER	Task API Test	END	1720829208997
USER	Task API Test	START	1720829208998
REQUEST		GET task	1720829208767	1720829209006	OK	 
USER	Task API Test	END	1720829209007
USER	Task API Test	START	1720829209008
REQUEST		POST task	1720829208748	1720829209013	OK	 
REQUEST		POST task	1720829208744	1720829209055	OK	 
REQUEST		POST task	1720829208428	1720829209247	OK	 
REQUEST		POST task	1720829208997	1720829209276	OK	 
REQUEST		POST task	1720829209008	1720829209298	OK	 
REQUEST		PUT task	1720829209014	1720829209298	OK	 
REQUEST		PUT task	1720829209056	1720829209366	OK	 
REQUEST		POST task	1720829208534	1720829209379	OK	 
REQUEST		PUT task	1720829209249	1720829209541	OK	 
REQUEST		PUT task	1720829209277	1720829209556	OK	 
REQUEST		GET task	1720829209367	1720829209606	OK	 
USER	Task API Test	END	1720829209607
USER	Task API Test	START	1720829209608
REQUEST		PUT task	1720829209380	1720829209661	OK	 
USER	Task API Test	START	1720829209745
REQUEST		GET task	1720829209557	1720829209798	OK	 
USER	Task API Test	END	1720829209800
USER	Task API Test	START	1720829209801
REQUEST		POST task	1720829209607	1720829209877	OK	 
REQUEST		GET task	1720829209662	1720829209908	OK	 
USER	Task API Test	END	1720829209909
USER	Task API Test	START	1720829209911
REQUEST		POST task	1720829209744	1720829210006	OK	 
REQUEST		GET task	1720829209301	1720829210038	OK	 
USER	Task API Test	END	1720829210039
USER	Task API Test	START	1720829210040
REQUEST		POST task	1720829209800	1720829210073	OK	 
REQUEST		PUT task	1720829209299	1720829210111	OK	 
REQUEST		PUT task	1720829209879	1720829210162	OK	 
REQUEST		POST task	1720829209910	1720829210187	OK	 
REQUEST		GET task	1720829209542	1720829210280	OK	 
USER	Task API Test	END	1720829210281
USER	Task API Test	START	1720829210282
REQUEST		PUT task	1720829210007	1720829210293	OK	 
REQUEST		POST task	1720829210040	1720829210317	OK	 
REQUEST		PUT task	1720829210074	1720829210321	OK	 
REQUEST		GET task	1720829210112	1720829210354	OK	 
USER	Task API Test	END	1720829210355
USER	Task API Test	START	1720829210356
REQUEST		GET task	1720829210163	1720829210400	OK	 
USER	Task API Test	END	1720829210401
USER	Task API Test	START	1720829210402
REQUEST		PUT task	1720829210188	1720829210462	OK	 
REQUEST		GET task	1720829210294	1720829210539	OK	 
USER	Task API Test	END	1720829210540
USER	Task API Test	START	1720829210541
REQUEST		POST task	1720829210282	1720829210568	OK	 
REQUEST		PUT task	1720829210318	1720829210613	OK	 
REQUEST		POST task	1720829210356	1720829210628	OK	 
REQUEST		POST task	1720829210402	1720829210691	OK	 
REQUEST		GET task	1720829210463	1720829210700	OK	 
USER	Task API Test	END	1720829210701
USER	Task API Test	START	1720829210702
USER	Task API Test	START	1720829210744
REQUEST		POST task	1720829210540	1720829210805	OK	 
REQUEST		GET task	1720829210614	1720829210863	OK	 
USER	Task API Test	END	1720829210864
REQUEST		PUT task	1720829210569	1720829210864	OK	 
USER	Task API Test	START	1720829210865
REQUEST		PUT task	1720829210629	1720829210907	OK	 
REQUEST		PUT task	1720829210692	1720829210969	OK	 
REQUEST		POST task	1720829210701	1720829210972	OK	 
REQUEST		POST task	1720829210743	1720829211013	OK	 
REQUEST		PUT task	1720829210807	1720829211045	OK	 
REQUEST		GET task	1720829210321	1720829211071	OK	 
USER	Task API Test	END	1720829211073
USER	Task API Test	START	1720829211074
REQUEST		GET task	1720829210865	1720829211097	OK	 
USER	Task API Test	END	1720829211098
USER	Task API Test	START	1720829211099
REQUEST		POST task	1720829210865	1720829211134	OK	 
REQUEST		GET task	1720829210908	1720829211143	OK	 
USER	Task API Test	END	1720829211144
USER	Task API Test	START	1720829211145
REQUEST		GET task	1720829210970	1720829211201	OK	 
USER	Task API Test	END	1720829211202
USER	Task API Test	START	1720829211203
REQUEST		PUT task	1720829210973	1720829211251	OK	 
REQUEST		GET task	1720829211046	1720829211281	OK	 
USER	Task API Test	END	1720829211282
USER	Task API Test	START	1720829211283
REQUEST		PUT task	1720829211014	1720829211301	OK	 
REQUEST		POST task	1720829211073	1720829211337	OK	 
REQUEST		POST task	1720829211098	1720829211409	OK	 
REQUEST		POST task	1720829211144	1720829211418	OK	 
REQUEST		PUT task	1720829211135	1720829211425	OK	 
REQUEST		POST task	1720829211202	1720829211484	OK	 
REQUEST		GET task	1720829211302	1720829211546	OK	 
USER	Task API Test	END	1720829211548
REQUEST		POST task	1720829211283	1720829211547	OK	 
USER	Task API Test	START	1720829211549
REQUEST		PUT task	1720829211338	1720829211591	OK	 
REQUEST		PUT task	1720829211419	1720829211662	OK	 
REQUEST		GET task	1720829211425	1720829211667	OK	 
USER	Task API Test	END	1720829211668
USER	Task API Test	START	1720829211669
REQUEST		PUT task	1720829211411	1720829211689	OK	 
USER	Task API Test	START	1720829211745
REQUEST		PUT task	1720829211548	1720829211795	OK	 
REQUEST		GET task	1720829211592	1720829211824	OK	 
USER	Task API Test	END	1720829211825
USER	Task API Test	START	1720829211826
REQUEST		POST task	1720829211548	1720829211833	OK	 
REQUEST		GET task	1720829211663	1720829211906	OK	 
USER	Task API Test	END	1720829211907
USER	Task API Test	START	1720829211908
REQUEST		GET task	1720829211690	1720829211925	OK	 
USER	Task API Test	END	1720829211926
USER	Task API Test	START	1720829211927
REQUEST		POST task	1720829211669	1720829211929	OK	 
REQUEST		POST task	1720829211744	1720829212003	OK	 
REQUEST		GET task	1720829211252	1720829212010	OK	 
USER	Task API Test	END	1720829212011
USER	Task API Test	START	1720829212011
REQUEST		GET task	1720829211796	1720829212041	OK	 
USER	Task API Test	END	1720829212042
USER	Task API Test	START	1720829212042
REQUEST		POST task	1720829211826	1720829212107	OK	 
REQUEST		PUT task	1720829211833	1720829212131	OK	 
REQUEST		PUT task	1720829211930	1720829212175	OK	 
REQUEST		POST task	1720829211908	1720829212181	OK	 
REQUEST		POST task	1720829211927	1720829212227	OK	 
REQUEST		PUT task	1720829212004	1720829212245	OK	 
REQUEST		POST task	1720829212011	1720829212264	OK	 
REQUEST		PUT task	1720829211485	1720829212274	OK	 
REQUEST		POST task	1720829212042	1720829212299	OK	 
REQUEST		GET task	1720829212132	1720829212379	OK	 
USER	Task API Test	END	1720829212380
USER	Task API Test	START	1720829212381
REQUEST		PUT task	1720829212108	1720829212390	OK	 
REQUEST		GET task	1720829212176	1720829212414	OK	 
USER	Task API Test	END	1720829212415
USER	Task API Test	START	1720829212415
REQUEST		PUT task	1720829212181	1720829212474	OK	 
REQUEST		GET task	1720829212246	1720829212480	OK	 
USER	Task API Test	END	1720829212481
USER	Task API Test	START	1720829212482
REQUEST		PUT task	1720829212265	1720829212552	OK	 
REQUEST		PUT task	1720829212300	1720829212564	OK	 
REQUEST		GET task	1720829212391	1720829212622	OK	 
USER	Task API Test	END	1720829212624
USER	Task API Test	START	1720829212625
REQUEST		POST task	1720829212381	1720829212640	OK	 
REQUEST		POST task	1720829212415	1720829212681	OK	 
REQUEST		GET task	1720829212475	1720829212715	OK	 
USER	Task API Test	END	1720829212716
USER	Task API Test	START	1720829212717
USER	Task API Test	START	1720829212743
REQUEST		POST task	1720829212481	1720829212757	OK	 
REQUEST		GET task	1720829212553	1720829212792	OK	 
USER	Task API Test	END	1720829212793
USER	Task API Test	START	1720829212793
REQUEST		GET task	1720829212564	1720829212798	OK	 
USER	Task API Test	END	1720829212798
USER	Task API Test	START	1720829212799
REQUEST		POST task	1720829212625	1720829212887	OK	 
REQUEST		PUT task	1720829212641	1720829212919	OK	 
REQUEST		POST task	1720829212717	1720829212980	OK	 
REQUEST		POST task	1720829212743	1720829213011	OK	 
REQUEST		PUT task	1720829212228	1720829213016	OK	 
REQUEST		GET task	1720829212275	1720829213061	OK	 
USER	Task API Test	END	1720829213062
USER	Task API Test	START	1720829213063
REQUEST		POST task	1720829212793	1720829213071	OK	 
REQUEST		POST task	1720829212798	1720829213074	OK	 
REQUEST		PUT task	1720829212888	1720829213169	OK	 
REQUEST		PUT task	1720829213012	1720829213256	OK	 
REQUEST		GET task	1720829213017	1720829213264	OK	 
USER	Task API Test	END	1720829213265
USER	Task API Test	START	1720829213266
REQUEST		PUT task	1720829212981	1720829213270	OK	 
REQUEST		POST task	1720829213063	1720829213320	OK	 
REQUEST		PUT task	1720829213074	1720829213356	OK	 
REQUEST		PUT task	1720829212682	1720829213480	OK	 
REQUEST		GET task	1720829213257	1720829213494	OK	 
USER	Task API Test	END	1720829213495
USER	Task API Test	START	1720829213496
REQUEST		GET task	1720829213270	1720829213507	OK	 
USER	Task API Test	END	1720829213507
USER	Task API Test	START	1720829213508
REQUEST		POST task	1720829213265	1720829213535	OK	 
REQUEST		PUT task	1720829212758	1720829213590	OK	 
REQUEST		GET task	1720829213357	1720829213594	OK	 
USER	Task API Test	END	1720829213595
USER	Task API Test	START	1720829213596
REQUEST		GET task	1720829212920	1720829213674	OK	 
USER	Task API Test	END	1720829213675
USER	Task API Test	START	1720829213676
REQUEST		GET task	1720829213481	1720829213713	OK	 
USER	Task API Test	END	1720829213714
USER	Task API Test	START	1720829213715
REQUEST		POST task	1720829213495	1720829213767	OK	 
REQUEST		PUT task	1720829213536	1720829213773	OK	 
REQUEST		GET task	1720829213591	1720829213824	OK	 
USER	Task API Test	END	1720829213826
USER	Task API Test	START	1720829213827
REQUEST		PUT task	1720829213072	1720829213865	OK	 
REQUEST		POST task	1720829213595	1720829213876	OK	 
REQUEST		GET task	1720829213170	1720829213907	OK	 
USER	Task API Test	END	1720829213908
USER	Task API Test	START	1720829213909
REQUEST		POST task	1720829213675	1720829213937	OK	 
REQUEST		GET task	1720829213773	1720829214002	OK	 
USER	Task API Test	END	1720829214003
USER	Task API Test	START	1720829214004
REQUEST		PUT task	1720829213321	1720829214054	OK	 
REQUEST		PUT task	1720829213768	1720829214058	OK	 
REQUEST		POST task	1720829213826	1720829214090	OK	 
REQUEST		GET task	1720829213866	1720829214108	OK	 
USER	Task API Test	END	1720829214109
USER	Task API Test	START	1720829214110
REQUEST		POST task	1720829213909	1720829214182	OK	 
REQUEST		PUT task	1720829213938	1720829214221	OK	 
REQUEST		PUT task	1720829213877	1720829214246	OK	 
REQUEST		POST task	1720829214003	1720829214270	OK	 
